导演,演员2,演员1,电影,演员3,内容,评级,体裁,,,,
Trey Parker,Maurice LaMarche,Jeremy Shada,Team America: World Police?,Trey Parker,actor|arab stereotype|broadway|terrorist|vomiting,R,Action,Comedy,,,
Wayne Kramer,Chazz Palminteri,Paul Walker,Running Scared?,Ivana Milicevic,adult child friendship|corrupt cop|fistfight|gangster|thug,R,Action,,Drama,,
Stephen Kay,Miranda Richardson,Sylvester Stallone,Get Carter?,Lauren Lee Smith,affair|car crash|enforcer|funeral|murder,R,Action,,Drama,,
Peter MacDonald,Kurtwood Smith,Sylvester Stallone,Rambo III?,Richard Crenna,afghanistan|colonel|rambo|rescue|soviet,R,Action,,,,
Marc Forster,Madeline Carroll,Gerard Butler,Machine Gun Preacher?,Kathy Baker,africa|biker|church|orphanage|preacher,R,Action,,,Drama,
Jim Jarmusch,Gano Grills,Henry Silva,Ghost Dog: The Way of the Samurai?,Richard Portnow,african american|code|dog|pigeon|samurai,R,Action,,Drama,,
Russell Friedenberg,Glen Powell,Rudy Youngblood,Wind Walkers?,Kiowa Gordon,after dark horrorfest,R,Action,,,,
Valeri Milev,Roger Cross,Daniella Alonso,Re-Kill?,Jesse Garcia,after dark|after dark horrorfest|fictional tv news show|outbreak,R,Action,,,,
Robert Rodriguez,Salma Hayek,Johnny Depp,Once Upon a Time in Mexico?,Enrique Iglesias,agent|cia|mariachi|mexican|president,R,Action,,,,
Randall Wallace,Marc Blucas,Jon Hamm,We Were Soldiers?,Chris Klein,air cavalry|battle|major|soldier|vietnamese,R,Action,Drama,,,
Robert Butler,Lauren Holly,Hector Elizondo,Turbulence?,Jeffrey DeMunn,airplane|christmas|marshal|pilot|u.s. marshal,R,Action,,,,
Rohan Sippy,Bipasha Basu,Abhishek Bachchan,Dum Maaro Dum?,Prateik,airport|drugs|loss of loved one|police|title based on song,R,Action,,Drama,,
Renny Harlin,John Amos,Bruce Willis,Die Hard 2?,Franco Nero,airport|fuel|plane|police|terrorist,R,Action,,,,
Peter Berg,Frances Fisher,Jennifer Garner,The Kingdom?,Tim McGraw,al qaeda|bomb making|fbi|saudi arabia|stabbed in the crotch,R,Action,Drama,,,
Tony Scott,Viggo Mortensen,Denzel Washington,Crimson Tide?,Ricky Schroder,alabama|mutiny|order|radio|submarine,R,Action,Drama,,,
Hank Braxtan,Gregory Cruz,Q'orianka Kilcher,Unnatural?,Allegra Carpenter,alaska|climate change|global|polar bear|scientific,R,Action,,,,
Paul W.S. Anderson,Boris Kodjoe,Milla Jovovich,Resident Evil: Afterlife?,Shawn Roberts,alaska|female gunfighter|mutation|ship|siege,R,Action,,,,
Joe Carnahan,Frank Grillo,Liam Neeson,The Grey?,James Badge Dale,alaska|leadership|snow|survival|wilderness,R,Action,,Drama,,
Michael Bay,Michael Biehn,Nicolas Cage,The Rock?,Bokeem Woodbine,alcatraz|fbi|general|hostage|rocket,R,Action,,,,
Edgar Wright,Thomas Law,Michael Smiley,The World's End?,Jasper Levine,alcoholic|doppelganger|group therapy|self mutilation|twin actresses for twin sisters,R,Action,Comedy,,,
Joe Cornish,Luke Treadaway,John Boyega,Attack the Block?,Jodie Whittaker,alien|alien invasion|apartment|creature|gang,R,Action,Comedy,,,
Jean-Pierre Jeunet,Michael Wincott,Gary Dourdan,Alien: Resurrection?,Raymond Cruz,alien|blood|breeding|clone|scientist,R,Action,,,,
David Fincher,Holt McCallany,Charles S. Dutton,Alien 3?,Paul McGann,alien|crash|planet|prison|survivor,R,Action,,,,
Stephen Hopkins,Robert Davi,Adam Baldwin,Predator 2?,Kevin Peter Hall,alien|drug lord|gang|hunter|predator,R,Action,,,,
Colin Strause,Johnny Lewis,Sam Trammell,Aliens vs. Predator: Requiem?,Ian Whyte,alien|escape|hunting|hybrid|predator,R,Action,,,,
Akiva Schaffer,Nicholas Braun,Will Forte,The Watch?,Rosemarie DeWitt,alien|escape|manager|neighborhood watch|ohio,R,Action,Comedy,,,
Paul Verhoeven,Patrick Muldoon,Jake Busey,Starship Troopers?,Seth Gilliam,alien|federation|future|military|planet,R,Action,,,,
Neill Blomkamp,Jed Brophy,Sharlto Copley,District 9?,Jason Cope,alien|ghetto|prawn|refugee|refugee camp,R,Action,,,,
Tobe Hooper,Steve Railsback,Frank Finlay,Lifeforce?,Peter Firth,alien|halleys comet|life force|space vampire|vampire,R,Action,,,,
James Cameron,Carrie Henn,Michael Biehn,Aliens?,Jenette Goldstein,alien|human versus alien|monster|rescue mission|space marine,R,Action,,,,
Roger Donaldson,Marg Helgenberger,Natasha Henstridge,Species?,Jordan Lund,alien|interspecies sex|scientist|sexual attraction|train,R,Action,,,,
David Twohy,Nolan Gerard Funk,Vin Diesel,Riddick?,Bokeem Woodbine,alien|left for dead|mercenary|survival|vomiting,R,Action,,,,
John Woo,Tony Chiu Wai Leung,Takeshi Kaneshiro,Red Cliff?,Wei Zhao,alliance|battle|china|chinese|strategy,R,Action,,Drama,,
Renny Harlin,Michael Rapaport,LL Cool J,Deep Blue Sea?,Saffron Burrows,alzheimer's disease|experiment|human versus shark|research|underwater headquarters,R,Action,,,,
Pierre Morel,Amber Rose Revah,Kasia Smutniak,From Paris with Love?,Rebecca Dayan,ambassador|cia|dinner|spy|terrorist,R,Action,,,,
Paul Verhoeven,Rachel Ticotin,Ronny Cox,Total Recall?,Marshall Bell,ambiguous ending|false memory|implanted memory|memory|space colony,R,Action,,,,
Sam Mendes,Brian Geraghty,Jake Gyllenhaal,Jarhead?,James Morrison,american abroad|gulf war|u.s. military|u.s. soldier|usmc,R,Action,Drama,,,
Gary Ross,Donald Watkins,Matthew McConaughey,Free State of Jones?,Jessica Collins,american civil war|civil war|u.s. civil war,R,Action,,Drama,,
J.C. Chandor,Ashley Williams,David Oyelowo,A Most Violent Year?,Albert Brooks,american dream|immigrant|new york city|oil|violence,R,Action,,Drama,,
Ronny Yu,Junix Inocian,Meat Loaf,Formula 51?,Paul Barber,american in the uk|drug lord|drugs|gangster|organized crime,R,Action,Comedy,,,
George P. Cosmatos,Ben Gazzara,Sam Waterston,Shadow Conspiracy?,Nicholas Turturro,american president|assassin|conspiracy|president|white house,R,Action,,,,
Roland Emmerich,Adam Baldwin,Heath Ledger,The Patriot?,Tom Wilkinson,american revolution|british|french|hero|standoff,R,Action,Drama,,,
Lance Hool,Joaquim de Almeida,Tom Berenger,One Man's Hero?,Mark Moses,american|battalion|catholic|mexican|sergeant,R,Action,Drama,,,
John Dahl,Clayne Crawford,James Franco,The Great Raid?,Paolo Montalban,american|lieutenant colonel|mission|rescue|soldier,R,Action,Drama,,,
Renny Harlin,Craig Bierko,Melina Kanakaredes,The Long Kiss Goodnight?,Yvonne Zima,amnesia|chase|foot chase|strong female character|vomiting,R,Action,,Drama,,
Paul W.S. Anderson,Jaymes Butler,Milla Jovovich,Resident Evil?,Colin Salmon,amnesia|quarantine|special forces|virus|zombie,R,Action,,,,
Phillip Noyce,Polly Walker,Harrison Ford,Patriot Games?,Patrick Bergin,analyst|cia|ira|terrorist|terrorist attack,R,Action,,,,
Oliver Stone,Angelina Jolie Pitt,Anthony Hopkins,Alexander?,Brian Blessed,ancient greece|conquest|greek|greek myth|king,R,Action,,,Drama,
Brett Leonard,Costas Mandylor,Denzel Washington,Virtuosity?,Traci Lords,android|ex cop|serial killer|virtual character come to life|virtual reality,R,Action,,,,
Gregory Widen,Adam Goldberg,Viggo Mortensen,The Prophecy?,Virginia Madsen,angel|corpse|girl|heaven|soul,R,Action,,,,
Scott Stewart,Kate Walsh,Dennis Quaid,Legion?,Charles S. Dutton,angel|diner|faith|human race|religious faith,R,Action,,,,
Dominic Sena,Bashar Rahal,Tom Skerritt,Whiteout?,Shawn Doyle,antarctica|geologist|investigation|u.s. marshal|winter,R,Action,,,,
Robert Rodriguez,Rosario Dawson,Quentin Tarantino,Grindhouse?,Zo? Bell,anthropophagus|blood and gore|double feature|real twins playing twins|zombie,R,Action,,,,
Brian Helgeland,Deborah Kara Unger,Bill Duke,Payback?,William Devane,anti hero|criminal|greed|prostitute|tough guy,R,Action,,Drama,,
Gareth Evans,Yayan Ruhian,Iko Uwais,The Raid: Redemption?,Donny Alamsyah,apartment|drug lord|gangster|police|swat team,R,Action,,,,
Tony Maylam,Alun Armstrong,Michael J. Pollard,Split Second?,Alastair Duncan,appearing from water|breasts|creature|partner|water,R,Action,,,,
Simon West,Tony Goldwyn,Jason Statham,The Mechanic?,Mini Anden,apprentice|disobeying orders|gas station|hitman|nightclub,R,Action,,,,
John McTiernan,Vladimir Kulich,Tony Curran,The 13th Warrior?,Clive Russell,arab|battle|combat|viking|warrior,R,Action,,,,
Mike Marvin,Randy Quaid,Clint Howard,The Wraith?,Nick Cassavetes,arizona|death|gang|police|sheriff,R,Action,,,,
Paul W.S. Anderson,Max Ryan,Jason Statham,Death Race?,Joan Allen,armored car|car|murder|prison|warden,R,Action,,,,
Robert Rodriguez,Demián Bichir,Alexa PenaVega,Machete Kills?,Marko Zaror,arms dealer|battle|bomb|machete|missile,R,Action,Comedy,,,
Simon West,Monica Potter,Steve Buscemi,Con Air?,Dave Chappelle,army rangers|convict|criminal|escape|prison,R,Action,,,,
Ivan Reitman,Harold Ramis,Bill Murray,Stripes?,Judge Reinhold,army|boot camp|breasts|graduation|rescue,R,Action,Comedy,,,
Christopher Cain,Patrick Wayne,Jack Palance,Young Guns?,Brian Keith,army|cattle|deputy|new mexico|rancher,R,Action,,Drama,,
Noam Murro,Sullivan Stapleton,Eva Green,300: Rise of an Empire?,Peter Mensah,army|commander|female rear nudity|greek|navy,R,Action,Drama,,,
Steven Spielberg,Vin Diesel,Tom Hanks,Saving Private Ryan?,Matt Damon,army|invasion|killed in action|normandy|soldier,R,Action,Drama,,,
Kevin Carraway,Max Ryan,Michael Jai White,Chain of Command?,Jon Osbeck,army|michael jai white|ohio|steve austin,R,Action,,,,
Joseph Zito,Richard Lynch,Billy Drago,Invasion U.S.A.?,Eddie Jones,army|nightmare|one man army|rescue|spy,R,Action,,,,
David Koepp,Olivia Munn,Johnny Depp,Mortdecai?,Ulrich Thomsen,art dealer|fake painting|macguffin|moustache|stolen painting,R,Action,Comedy,,,
Daniel Lee,Sammo Kam-Bo Hung,Andy Lau,Three Kingdoms: Resurrection of the Dragon?,Andy On,art of war|china|civil war|female warrior|musician,R,Action,Drama,,,
Mark Neveldine,Clifton Collins Jr.,Jason Statham,Crank: High Voltage?,David Carradine,artificial heart|heart|horse penis|prostitute|stripper,R,Action,,,,
Neill Blomkamp,Sharlto Copley,Hugh Jackman,Chappie?,Jose Pablo Cantillo,artificial intelligence|consciousness|future|mind uploading|robot,R,Action,,Drama,,
Miguel Sapochnik,RZA,Alice Braga,Repo Men?,Yvette Nicole Brown,artificial organ|best friend|enforcer|future|near future,R,Action,,,,
Lana Wachowski,Marcus Chong,Keanu Reeves,The Matrix?,Gloria Foster,artificial reality|computer|matrix|questioning reality|simulated reality,R,Action,,,,
John Erick Dowdle,Claire Geare,Sterling Jerins,No Escape?,Sahajak Boonthanakit,asia|fictional country|hotel|rebellion|revolution,R,Action,,,,
Tony Scott,Gary Oldman,Brad Pitt,True Romance?,Michael Rapaport,aspiring actor|cocaine|drugs|pimp|suitcase full of money,R,Action,,Drama,,
Quentin Tarantino,Michael Parks,Vivica A. Fox,Kill Bill: Vol. 2?,Michael Bowen,assassin|assassination|bride|death|vengeance,R,Action,,Drama,,
Philip G. Atwell,Jet Li,Jason Statham,War?,Nadine Velazquez,assassin|betrayal|fbi|fbi agent|yakuza,R,Action,,,,
Timur Bekmambetov,Morgan Freeman,Angelina Jolie Pitt,Wanted?,Common,assassin|bobble head doll|femme fatale|rejuvenation|strong female lead,R,Action,,,,
Harley Cokeliss,Tracey Walter,Cliff Robertson,Malone?,Dennis Burkley,assassin|box office flop|cia|farmer|power,R,Action,Drama,,,
Joshua Seftel,Sergej Trifunovic,Bashar Rahal,"War, Inc.?",Ned Bellamy,assassin|corporation|pop star|reporter|satire,R,Action,Comedy,,,
Mark Neveldine,Edi Gathegi,Jason Statham,Crank?,Jose Pablo Cantillo,assassin|cult film|doctor|heart|poison,R,Action,,,,
Clint Eastwood,Leonard Roberts,Bradley Cooper,American Sniper?,Keir O'Donnell,assassin|death of child|iraq|sniper|sniper rifle,R,Action,,Drama,,
Robert Rodriguez,Peter Marquardt,Carlos Gallardo,El Mariachi?,Consuelo Gómez,assassin|death|guitar|gun|mariachi,R,Action,,Drama,,
Russell Mulcahy,Gina Bellman,Christopher Heyerdahl,Silent Trigger?,Conrad Dunn,assassin|die hard scenario|rangefinder|soldier|veteran,R,Action,Drama,,,
Antoine Fuqua,Chlo? Grace Moretz,Denzel Washington,The Equalizer?,James Wilcox,assassin|ex soldier|gangster|hanged man|mysterious past,R,Action,,,,
Michael Caton-Jones,Bruce Willis,J.K. Simmons,The Jackal?,Sophie Okonedo,assassin|fbi|ira|jackal|russian,R,Action,,,,
Brian A Miller,50 Cent,Bruce Willis,The Prince?,Jessica Lowndes,assassin|fight|mechanic|rescue|rival,R,Action,,,,
Richard Donner,Sylvester Stallone,Muse Watson,Assassins?,Kelly Rowan,assassin|floppy disk|modem|rival|russian,R,Action,,,,
George Armitage,Michael Cudlitz,Minnie Driver,Grosse Pointe Blank?,Mitchell Ryan,assassin|high school|high school reunion|reunion|suburb,R,Action,Comedy,,,
Chuck Russell,James Coburn,Vanessa Williams,Eraser?,Roma Maffia,assassination attempt|corporate crime|rogue agent|witness|witness protection program,R,Action,Drama,,,
Peter Ho-Sun Chan,Takeshi Kaneshiro,Jet Li,The Warlords?,Andy Lau,assassination|blood brother|dynasty|general|stabbing a woman,R,Action,Drama,,,
Pierre Morel,Mark Rylance,Ray Winstone,The Gunman?,Jasmine Trinca,assassination|blood vomiting|death|hit squad|mercenary,R,Action,,Drama,,
Mateo Gil,Dominique McElligott,Sam Shepard,Blackthorn?,Stephen Rea,assumed identity|bolivia|butch cassidy|doctor|thief,R,Action,,,,
Kevin Smith,Michael Angarano,Anna Gunn,Red State?,Stephen Root,atf agent|ball gag|cult leader|pastor|pretending to be dead,R,Action,,,,
Peter Hyams,Mark Margolis,CCH Pounder,End of Days?,Udo Kier,atheist|ex cop|female masturbation|female nudity|lucifer,R,Action,,,,
Mel Smith,Danny Dyer,Minnie Driver,High Heels and Low Lifes?,Mary McCormack,attempted murder|blackmail|diver's watch|nurse|satire,R,Action,Comedy,Drama,,
Gary McKendry,Robert De Niro,Jason Statham,Killer Elite?,Ben Mendelsohn,australia|death|mentor|revenge|secret society,R,Action,,,,
George Miller,Charlize Theron,Tom Hardy,Mad Max: Fury Road?,Zo? Kravitz,australia|desert|escape|on the run|post apocalypse,R,Action,,,,
George Miller,Bruce Spence,Vernon Wells,Mad Max 2: The Road Warrior?,Kjell Nilsson,australian|gasoline|post apocalypse|refinery|warrior,R,Action,,,,
Sam Raimi,Pat Hingle,Leonardo DiCaprio,The Quick and the Dead?,Roberts Blossom,authority figure as villian|gun duel|saved from hanging|showdown|street shootout,R,Action,,,,
Harold Becker,Miko Hughes,Bruce Willis,Mercury Rising?,Carrie Preston,autistic child|boy|child in danger|fbi|nsa,R,Action,,Drama,,
David R. Ellis,Kenan Thompson,Lin Shaye,Snakes on a Plane?,Rachel Blanchard,baby rattle|famous line|murder|passenger|snake,R,Action,,,Drama,
Patrick Lussier,Billy Burke,Nicolas Cage,Drive Angry?,Katy Mixon,baby|cult|oklahoma|sex scene|waitress,R,Action,,,,
Johnnie To,Anthony Chau-Sang Wong,Simon Yam,Exiled?,Josie Ho,baby|friendship|macau|practical joke|selfie,R,Action,,,,
Alex Proyas,Bai Ling,Michael Wincott,The Crow?,David Patrick Kelly,back from the dead|crime boss|crow|gothic|vigilante,R,Action,Drama,,,
Mark L. Lester,Perry King,Roddy McDowall,Class of 1984?,Timothy Van Patten,back to school|city|high school|sadism|teacher,R,Action,,Drama,,
Michael Jai White,Alex Meraz,Michael Jai White,Never Back Down 2: The Beatdown?,Jillian Murray,bad cop|college|second part|sequel|wrestler,R,Action,Drama,,,
John McTiernan,Chris Klein,LL Cool J,Rollerball?,Andrew Bryniarski,ball|blood|skating|song|year 2005,R,Action,,,,
Sergio Leone,Gian Maria Volontè,Clint Eastwood,A Fistful of Dollars?,Aldo Sambrell,balladeer|bar|drifter|mexican|revenge,R,Action,Drama,,,
John Landis,Aretha Franklin,John Belushi,The Blues Brothers?,Ray Charles,band|catholic|money|parolee|prison,R,Action,Comedy,,,
Ekachai Uekrongtham,Mike Dopud,Michael Jai White,Skin Trade?,Celina Jade,bangkok thailand|detective|human trafficking|revenge|sex slavery,R,Action,,,,
Ruben Fleischer,Dilshad Vadsaria,Bianca Kajlich,30 Minutes or Less?,Fred Ward,bank heist|bank robbery|heist gone wrong|pizza delivery boy|unlikely criminal,R,Action,Comedy,,,
F. Gary Gray,Jada Pinkett Smith,Vivica A. Fox,Set It Off?,Blair Underwood,bank|black comedy|main characters killed off|money|robbery,R,Action,,Drama,,
Tom Tykwer,Brían F. O'Byrne,Naomi Watts,The International?,Armin Mueller-Stahl,bank|chase|district attorney|interpol|murder,R,Action,,Drama,,
Nick Love,Ray Winstone,Hayley Atwell,The Sweeney?,Alan Ford,bank|criminal|detective|flying squad|policewoman,R,Action,,Drama,,
Sarik Andreasyan,Jordana Brewster,Hayden Christensen,American Heist?,Akon,bank|critically bashed|heist|mechanic|prison,R,Action,,Drama,,
Simon West,Mark Valley,Nicolas Cage,Stolen?,Sami Gayle,bank|money|presumed dead|rescue|thief,R,Action,,Drama,,
Simon Wincer,Tia Carrere,Vanessa Williams,Harley Davidson and the Marlboro Man?,Don Johnson,bar|biker|cowboy|drugs|marlboro,R,Action,,Drama,,
John Gulager,Eric Dane,Krista Allen,Feast?,Henry Rollins,bar|bloody body of child|dead boy|monster|vomiting,R,Action,Comedy,,,
Avi Nesher,Elizabeth Berkley,Fisher Stevens,Taxman?,Robert Townsend,bar|box office flop|dance|one word title|voice over narration,R,Action,Comedy,,,
Walter Hill,Jason Momoa,Sylvester Stallone,Bullet to the Head?,Jon Seda,bar|bullet|corruption|detective|lawyer,R,Action,,,,
David Hayter,Jennifer Hale,Jason Momoa,Wolves?,Stephen McHattie,bar|female nudity|murder|small town|werewolf,R,Action,,,,
Joseph Ruben,Robert Blake,Vincent Pastore,Money Train?,Aida Turturro,bare breasts|breast|loan shark|subway|train,R,Action,Comedy,,Drama,
James Nunn,Mark Wingett,Spencer Wilding,Green Street 3: Never Back Down?,Kacey Clarke,bare breasts|firm|hooliganism|training|west ham supporter,R,Action,Drama,,,
Michael Herz,Jessica Dublin,Phoebe Legere,The Toxic Avenger Part II?,Lisa Gaye,bare breasts|japan|tokyo japan|toxic avenger|troma,R,Action,Comedy,,,
John Singleton,Tony Nappo,Josh Charles,Four Brothers?,Fionnula Flanagan,bare butt|corrupt police|four brothers|funeral|murder,R,Action,,Drama,,
Andrew Davis,Rick Worthy,Raymond Cruz,Collateral Damage?,Jsu Garcia,bare chested boy|car explosion|colombia|explosion|terrorism,R,Action,Drama,,,
Mark L. Lester,Tia Carrere,Cary-Hiroyuki Tagawa,Showdown in Little Tokyo?,Vernee Watson,bare chested male|detective|electric torture|japanese american|yakuza,R,Action,Comedy,,,
Kevin Smith,Tracy Morgan,Bruce Willis,Cop Out?,Kevin Pollak,baseball card|detective|partner|thief|wedding,R,Action,Comedy,,,
Tony Scott,Kurt Fuller,Robert De Niro,The Fan?,Ellen Barkin,baseball|fan|obsession|salesman|san francisco giants,R,Action,Drama,,,
Tim Miller,Ed Skrein,Ryan Reynolds,Deadpool?,Stefan Kapicic,based on comic book|breaking the fourth wall|mercenary|mutant|self healing,R,Action,,Comedy,,
Mark A.Z. Dippé,Frank Welker,Michael Jai White,Spawn?,Miko Hughes,based on comic|based on comic book|dark hero|image comics|superhero,R,Action,,,,
Matt Maiellaro,Fred Armisen,Tina Fey,Aqua Teen Hunger Force Colon Movie Film for Theaters?,Chris Kattan,based on cult tv series|critically acclaimed|exercise machine|midnight movie|robot,R,Action,,,Comedy,
Katsuhiro ?tomo,Takeshi Kusao,Mitsuo Iwata,Akira?,Tessh? Genda,based on manga|biker gang|gifted child|post thermonuclear war|science runs amok,R,Action,,,,
Michael Bay,James Badge Dale,Toby Stephens,13 Hours?,David Costabile,based on true story|cia agent|libya|mercenary|u.s. ambassador,R,Action,Drama,,,
Jeff Burr,Clu Gulager,Terry Kiser,From a Whisper to a Scream?,Susan Tyrrell,bathtub|cult film|neck breaking|tennessee|wraparound story,R,Action,Drama,,,
David Ayer,Logan Lerman,Brad Pitt,Fury?,Jim Parrack,battle|battlefield|brutality|combat|tank,R,Action,Drama,,,
David Webb Peoples,Joan Chen,Delroy Lindo,The Blood of Heroes?,Anna Katarina,battle|blood splatter|combat|game|showdown,R,Action,,,,
Mark Neveldine,Logan Lerman,Gerard Butler,Gamer?,Alison Lohman,battle|convict|death|mind control|role playing,R,Action,,,,
M?ns M?rlind,Stephen Rea,Theo James,Underworld: Awakening?,Sandrine Holt,battle|cryogenics|detective|scientist|vampire,R,Action,,,,
Lana Wachowski,Collin Chou,Essie Davis,The Matrix Revolutions?,Nona Gaye,battle|epic|fight|future|machine,R,Action,,,,
Zack Snyder,Michael Fassbender,Gerard Butler,300?,Vincent Regan,battle|epic|greece|spartan|warrior,R,Action,Drama,,,
